#http://cp3.irmp.ucl.ac.be/~delaere/MLP/
#r        z       Br
1.5        -59.5        -0.0010696946826201418
3.5        -59.5        -0.002457442186572081
5.5        -59.5        -0.003824474989311889
7.5        -59.5        -0.005150664995788149
9.5        -59.5        -0.0064002566161058564
11.5        -59.5        -0.007534958872958293
13.5        -59.5        -0.008518586765404701
15.5        -59.5        -0.009315968571119939
17.5        -59.5        -0.009891773729509383
19.5        -59.5        -0.010210469024255294
21.5        -59.5        -0.01023716754648124
23.5        -59.5        -0.009780039222706774
1.5        -57.5        -0.001187299906634338
3.5        -57.5        -0.0029687940615178796
5.5        -57.5        -0.004558436508053232
7.5        -57.5        -0.006100788967738894
9.5        -57.5        -0.007550807098224634
11.5        -57.5        -0.008876468556666264
13.5        -57.5        -0.010044600792061334
15.5        -57.5        -0.011018802454791699
17.5        -57.5        -0.01175935028453452
19.5        -57.5        -0.012224059027790106
21.5        -57.5        -0.01236976301553339
23.5        -57.5        -0.012190908385514478
1.5        -55.5        -0.0014194927014018037
3.5        -55.5        -0.0033243617435086523
5.5        -55.5        -0.0051220850616461875
7.5        -55.5        -0.006839756630559531
9.5        -55.5        -0.008462771545229604
11.5        -55.5        -0.009964376511613401
13.5        -55.5        -0.011307532088424029
15.5        -55.5        -0.012448379743150608
17.5        -55.5        -0.013338136956928561
19.5        -55.5        -0.013924433656875868
21.5        -55.5        -0.014153026573967059
23.5        -55.5        -0.013951154087828639
1.5        -53.5        -0.001632367202433086
3.5        -53.5        -0.003960363867438003
5.5        -53.5        -0.006171011914391651
7.5        -53.5        -0.008352072225769431
9.5        -53.5        -0.010464560960778817
11.5        -53.5        -0.012464879753039964
13.5        -53.5        -0.014306390400326198
15.5        -53.5        -0.015937722415416848
17.5        -53.5        -0.017301138087358007
19.5        -53.5        -0.018332436630782677
21.5        -53.5        -0.018962339912882386
23.5        -53.5        -0.01898811552999087
1.5        -51.5        -0.0018766782617250994
3.5        -51.5        -0.004579085483084892
5.5        -51.5        -0.007091172963819665
7.5        -51.5        -0.009563200337556681
9.5        -51.5        -0.011957095714257461
11.5        -51.5        -0.014243553433203996
13.5        -51.5        -0.016383236375383723
15.5        -51.5        -0.018324678202896114
17.5        -51.5        -0.020004357300905717
19.5        -51.5        -0.02134746358308099
21.5        -51.5        -0.022269308865883602
23.5        -51.5        -0.02270078207054712
1.5        -49.5        -0.0021685025030213252
3.5        -49.5        -0.0050378980402339575
5.5        -49.5        -0.007825411080237163
7.5        -49.5        -0.010548964330868434
9.5        -49.5        -0.013211214225255185
11.5        -49.5        -0.01579062722352024
13.5        -49.5        -0.018243906204277578
15.5        -49.5        -0.022814148777498117
17.5        -49.5        -0.025210903243049435
19.5        -49.5        -0.027269066551307758
21.5        -49.5        -0.02888295921984647
23.5        -49.5        -0.029999729183793428
1.5        -47.5        -0.0024114574121229305
3.5        -47.5        -0.005782227863944779
5.5        -47.5        -0.009063689581741105
7.5        -47.5        -0.012370787248512413
9.5        -47.5        -0.015681357448485332
11.5        -47.5        -0.018961570368852692
13.5        -47.5        -0.02216344315927898
15.5        -47.5        -0.02522223553199917
17.5        -47.5        -0.028053138805477388
19.5        -47.5        -0.030548761878003896
21.5        -47.5        -0.03257761952554421
23.5        -47.5        -0.03388233897973291
1.5        -45.5        -0.002666886602559974
3.5        -45.5        -0.006361237173632239
5.5        -45.5        -0.00997708905035305
7.5        -45.5        -0.013618686419682965
9.5        -45.5        -0.017282219901745447
11.5        -45.5        -0.020956828245217485
13.5        -45.5        -0.024608413255388307
15.5        -45.5        -0.028177744689289123
17.5        -45.5        -0.03157869112600206
19.5        -45.5        -0.03469498842945365
21.5        -45.5        -0.037375493770466534
23.5        -45.5        -0.03944019957227269
1.5        -43.5        -0.0029325761974868868
3.5        -43.5        -0.006818655788037126
5.5        -43.5        -0.011142416968714644
7.5        -43.5        -0.015378518594778321
9.5        -43.5        -0.01975101847686677
11.5        -43.5        -0.02424601552781014
13.5        -43.5        -0.028830515205011422
15.5        -43.5        -0.03344783415499512
17.5        -43.5        -0.038012654318326705
19.5        -43.5        -0.04240338226113276
21.5        -43.5        -0.046450909998240204
23.5        -43.5        -0.04997983078551408
1.5        -41.5        -0.0031024427723262355
3.5        -41.5        -0.007354231046795926
5.5        -41.5        -0.01169287099157782
7.5        -41.5        -0.016221029639160226
9.5        -41.5        -0.02096842070029826
11.5        -41.5        -0.025936821520455504
13.5        -41.5        -0.031099081709915277
15.5        -41.5        -0.03640044588316259
17.5        -41.5        -0.04175628062847618
19.5        -41.5        -0.04704181574659312
21.5        -41.5        -0.05207036149906407
23.5        -41.5        -0.05649088531035081
1.5        -39.5        -0.0032131667391040856
3.5        -39.5        -0.007541772487000569
5.5        -39.5        -0.012079499771023378
7.5        -39.5        -0.01688412738098921
9.5        -39.5        -0.022005760575144653
11.5        -39.5        -0.02746135670805151
13.5        -39.5        -0.033234032367101006
15.5        -39.5        -0.03927941690329276
17.5        -39.5        -0.045531975837514345
19.5        -39.5        -0.05189914479893419
21.5        -39.5        -0.05823049299199673
23.5        -39.5        -0.06425235303276117
1.5        -37.5        -0.003210304911662695
3.5        -37.5        -0.007449794174611539
5.5        -37.5        -0.012118804026945706
7.5        -37.5        -0.017239122697491706
9.5        -37.5        -0.02291599149413967
11.5        -37.5        -0.029185874754097365
13.5        -37.5        -0.036028846490318324
15.5        -37.5        -0.043392725592689384
17.5        -37.5        -0.051223808294583124
19.5        -37.5        -0.05948471283085602
21.5        -37.5        -0.0681260897943369
23.5        -37.5        -0.07702089595535488
1.5        -35.5        -0.0030122116809014224
3.5        -35.5        -0.007098181017812506
5.5        -35.5        -0.011795584580110631
7.5        -35.5        -0.01714751957204954
9.5        -35.5        -0.023261859087329098
11.5        -35.5        -0.030163551688620196
13.5        -35.5        -0.03780465834304096
15.5        -35.5        -0.04610529983259096
17.5        -35.5        -0.0550258487476272
19.5        -35.5        -0.06463463292993214
21.5        -35.5        -0.07509144915577867
23.5        -35.5        -0.0864131123730042
1.5        -33.5        -0.002589968075130705
3.5        -33.5        -0.005842296115714593
5.5        -33.5        -0.010007550396411028
7.5        -33.5        -0.015132395957637044
9.5        -33.5        -0.021452154434209666
11.5        -33.5        -0.02903758005940714
13.5        -33.5        -0.037780996918071
15.5        -33.5        -0.04746829650013161
17.5        -33.5        -0.05793625879074986
19.5        -33.5        -0.06929366061860712
21.5        -33.5        -0.082076471599545
23.5        -33.5        -0.09691736099242476
1.5        -31.5        -0.001764711796277241
3.5        -31.5        -0.003114358381127661
5.5        -31.5        -0.006463290761769476
7.5        -31.5        -0.011159831667948903
9.5        -31.5        -0.017622851309223933
11.5        -31.5        -0.025924938774744312
13.5        -31.5        -0.035833311103413756
15.5        -31.5        -0.046853674554991676
17.5        -31.5        -0.05842501510028568
19.5        -31.5        -0.07036677744435717
21.5        -31.5        -0.0835265554562112
23.5        -31.5        -0.10013216540885894
1.5        -29.5        -0.00020370799927173772
3.5        -29.5        -0.0007232697861921265
5.5        -29.5        -0.003310162149935821
7.5        -29.5        -0.008045749884497395
9.5        -29.5        -0.015228139832448957
11.5        -29.5        -0.02486578602375373
13.5        -29.5        -0.03652042354843275
15.5        -29.5        -0.04921680460204979
17.5        -29.5        -0.061636204576793904
19.5        -29.5        -0.07294266861478525
21.5        -29.5        -0.08174022741461304
23.5        -29.5        -0.09735679528069796
1.5        -27.5        0.001869772631030162
3.5        -27.5        0.005573555456718347
5.5        -27.5        0.00614090110796286
7.5        -27.5        0.0038638148469153076
9.5        -27.5        -0.0022596888149356664
11.5        -27.5        -0.01271685202024326
13.5        -27.5        -0.027143576102650505
15.5        -27.5        -0.04397034917540523
17.5        -27.5        -0.06018937964324276
19.5        -27.5        -0.07193927631215272
21.5        -27.5        -0.07760481829703264
23.5        -27.5        -0.08484614545873173
1.5        -25.5        0.00516948459213
3.5        -25.5        0.015305365355912847
5.5        -25.5        0.019541976359875184
7.5        -25.5        0.01984141388374276
9.5        -25.5        0.014508942056996163
11.5        -25.5        0.0025840434076793133
13.5        -25.5        -0.016034799983974172
15.5        -25.5        -0.03986413343631788
17.5        -25.5        -0.0646102594713404
19.5        -25.5        -0.0816617394007659
21.5        -25.5        -0.07857362219719173
23.5        -25.5        -0.051553972807821424
1.5        -23.5        0.01067413710298674
3.5        -23.5        0.023593677709442613
5.5        -23.5        0.03128451169657225
7.5        -23.5        0.03282395577277202
9.5        -23.5        0.026714909953611317
11.5        -23.5        0.01140559007250673
13.5        -23.5        -0.014090123880664385
15.5        -23.5        -0.04894639614122406
17.5        -23.5        -0.060629909367857164
19.5        -23.5        -0.10245243650906755
21.5        -23.5        -0.11143107093609601
23.5        -23.5        -0.030825907272328014
1.5        -21.5        0.01704658332898033
3.5        -21.5        0.04360565103151053
5.5        -21.5        0.0624839079894331
7.5        -21.5        0.07497089638642938
9.5        -21.5        0.07737526961173376
11.5        -21.5        0.06584884195642902
13.5        -21.5        0.03658751902433137
15.5        -21.5        -0.013576936602128902
17.5        -21.5        -0.08530069676851353
19.5        -21.5        -0.17055308479438003
21.5        -21.5        -0.22965765382893039
23.5        -21.5        -0.08181096521634615
1.5        -19.5        0.026150078328769866
3.5        -19.5        0.0678307327708403
5.5        -19.5        0.09843429385181283
7.5        -19.5        0.1213628445236044
9.5        -19.5        0.13211942690422085
11.5        -19.5        0.125908549322782
13.5        -19.5        0.09674389864779542
15.5        -19.5        0.0370459317472159
17.5        -19.5        -0.06294336137684177
19.5        -19.5        -0.2162385860351138
21.5        -19.5        -0.44160790783323206
23.5        -19.5        -0.7712964539812772
1.5        -17.5        0.039766995618761784
3.5        -17.5        0.08888184248335419
5.5        -17.5        0.13002925220748174
7.5        -17.5        0.1606653751336965
9.5        -17.5        0.17742990551354412
11.5        -17.5        0.17465196110998132
13.5        -17.5        0.14385689037065816
15.5        -17.5        0.07265481533022589
17.5        -17.5        0.08890668150239095
19.5        -17.5        -0.109410237359755
21.5        -17.5        -0.4596650804816066
23.5        -17.5        -1.1328353594679428
1.5        -15.5        0.05333594648996332
3.5        -15.5        0.13262458737296617
5.5        -15.5        0.2011299720004443
7.5        -15.5        0.26319252040123403
9.5        -15.5        0.3131058308149286
11.5        -15.5        0.34357265405461057
13.5        -15.5        0.3447811941980417
15.5        -15.5        0.3028136586711648
17.5        -15.5        0.19668556767691933
19.5        -15.5        -0.007210591956555807
21.5        -15.5        -0.3639450314101157
23.5        -15.5        -0.9446317279950422
1.5        -13.5        0.07040341978997038
3.5        -13.5        0.17315737515195376
5.5        -13.5        0.25302018899319767
7.5        -13.5        0.333000050207499
9.5        -13.5        0.40235458970076843
11.5        -13.5        0.48256106930815595
13.5        -13.5        0.5146097026245336
15.5        -13.5        0.5097169362065548
17.5        -13.5        0.4516418308595575
19.5        -13.5        0.31844087965566786
21.5        -13.5        0.08516568423946037
23.5        -13.5        -0.258739379972888
1.5        -11.5        0.08876386398940675
3.5        -11.5        0.20947286994685616
5.5        -11.5        0.3211123750327744
7.5        -11.5        0.4253267113530313
9.5        -11.5        0.5208367105060967
11.5        -11.5        0.6038603785239706
13.5        -11.5        0.6680781431542583
15.5        -11.5        0.9160493291213131
17.5        -11.5        0.9561442162229052
19.5        -11.5        0.950054685602163
21.5        -11.5        0.8888523833601192
23.5        -11.5        0.7764756770024805
1.5        -9.5        0.11137254724956729
3.5        -9.5        0.27026005658740143
5.5        -9.5        0.4222898879561339
7.5        -9.5        0.575315772204013
9.5        -9.5        0.7271569420488819
11.5        -9.5        0.875320184378165
13.5        -9.5        1.0168459040570195
15.5        -9.5        1.1478992523139828
17.5        -9.5        1.2632859438781592
19.5        -9.5        1.3565218171868891
21.5        -9.5        1.421145167122507
23.5        -9.5        1.4512808947280607
1.5        -7.5        0.13093641042753967
3.5        -7.5        0.3246604933419278
5.5        -7.5        0.48647095546899133
7.5        -7.5        0.6720962036537874
9.5        -7.5        0.8532148267308783
11.5        -7.5        1.036965235617707
13.5        -7.5        1.224955257004073
15.5        -7.5        1.4185426842348963
17.5        -7.5        1.6180336917675424
19.5        -7.5        1.8211897554387655
21.5        -7.5        2.0203981403953817
23.5        -7.5        2.198933450720833
1.5        -5.5        0.1502863075021668
3.5        -5.5        0.3750412538283219
5.5        -5.5        0.5900639055247014
7.5        -5.5        0.8148581232436886
9.5        -5.5        1.0497465129877672
11.5        -5.5        1.2981060311377783
13.5        -5.5        1.565638697708763
15.5        -5.5        1.8599147993956844
17.5        -5.5        2.1895285820134425
19.5        -5.5        2.561885469087649
21.5        -5.5        2.977089253211632
23.5        -5.5        3.4151816319668615
1.5        -3.5        0.16967413406010803
3.5        -3.5        0.4016967801778766
5.5        -3.5        0.6357263478304529
7.5        -3.5        0.8798569339852533
9.5        -3.5        1.1402060028897205
11.5        -3.5        1.4244013516467302
13.5        -3.5        1.7176094029009792
15.5        -3.5        2.062429485089134
17.5        -3.5        2.46423991678741
19.5        -3.5        2.941898360750516
21.5        -3.5        3.514105010759112
23.5        -3.5        4.183824665270662
1.5        -1.5        0.18266431114043546
3.5        -1.5        0.4373885609060071
5.5        -1.5        0.696534292989664
7.5        -1.5        0.9411942487563502
9.5        -1.5        1.2207548063537337
11.5        -1.5        1.584662866787334
13.5        -1.5        1.9405101589041986
15.5        -1.5        2.3518078908945403
17.5        -1.5        2.8419370560249764
19.5        -1.5        3.444802230632965
21.5        -1.5        4.211958209103583
23.5        -1.5        5.220868772304936
1.5        0.5        0.19248848549332925
3.5        0.5        0.4562478668152268
5.5        0.5        0.7249474469486774
7.5        0.5        1.0078704463953807
9.5        0.5        1.3129124964436356
11.5        0.5        1.6504090389726838
13.5        0.5        1.9934432860655935
15.5        0.5        2.4190077071046656
17.5        0.5        2.9258912972147013
19.5        0.5        3.5486085169161243
21.5        0.5        4.342476710566955
23.5        0.5        5.4
1.5        2.5        0.19848849157908674
3.5        2.5        0.46623386450162474
5.5        2.5        0.7445930022917949
7.5        2.5        1.0255828304553618
9.5        2.5        1.3360623526422586
11.5        2.5        1.6706458560809652
13.5        2.5        2.0458848361688737
15.5        2.5        2.474840180402137
17.5        2.5        2.975561119515655
19.5        2.5        3.5715688626277187
